epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.447,1.39062,3.53526,1.35064,0.00465,0.83338,0.20076,0.12295,1.15352,3.78336,1.30418,0.0003,0.0003,0.0003
2,339.389,1.40003,2.76309,1.35417,0.47435,0.1841,0.35574,0.21202,1.33247,3.53013,1.39912,0.000600373,0.000600373,0.000600373
3,499.583,1.48688,2.68931,1.46233,0.62322,0.175,0.13297,0.05041,1.80448,5.45487,1.96524,0.00088837,0.00088837,0.00088837
4,646.715,1.46625,2.59957,1.47324,0.32453,0.21628,0.07019,0.033,1.80134,4.56385,2.30982,0.00116399,0.00116399,0.00116399
5,857.541,1.54598,2.57383,1.50872,0.50638,0.12894,0.14176,0.0825,1.8209,4.01315,2.5473,0.001151,0.001151,0.001151
6,10378.6,1.52069,2.46692,1.4539,0.20512,0.33386,0.25829,0.13467,1.56611,4.48969,1.82462,0.00112625,0.00112625,0.00112625
7,10519.2,1.52141,2.33588,1.45647,0.2488,0.34757,0.23582,0.10951,1.85356,3.9192,2.09121,0.0011015,0.0011015,0.0011015
8,18025.1,1.49407,2.21871,1.45056,0.37746,0.4142,0.37558,0.18554,1.53418,3.53376,1.7105,0.00107675,0.00107675,0.00107675
9,18178.4,1.45833,2.19152,1.43626,0.48234,0.38497,0.34673,0.19073,1.44477,2.83924,1.59431,0.001052,0.001052,0.001052
10,18319.8,1.51681,2.08196,1.41672,0.37688,0.37126,0.35738,0.19656,1.48816,3.39913,1.71317,0.00102725,0.00102725,0.00102725
11,18471,1.47004,2.08317,1.40309,0.31782,0.2739,0.27112,0.14709,1.53352,2.72261,1.75357,0.0010025,0.0010025,0.0010025
12,18649,1.42105,2.10459,1.39208,0.42868,0.48518,0.3877,0.22933,1.53,2.64377,1.65161,0.00097775,0.00097775,0.00097775
13,18871.6,1.47549,2.0343,1.41204,0.40212,0.40829,0.38996,0.23091,1.45456,2.43451,1.56249,0.000953,0.000953,0.000953
14,19094,1.43403,1.90323,1.4038,0.33214,0.57649,0.47783,0.26115,1.4765,2.41788,1.55678,0.00092825,0.00092825,0.00092825
15,19309.2,1.40576,1.82501,1.359,0.27838,0.49113,0.36025,0.21504,1.40352,2.36287,1.4688,0.0009035,0.0009035,0.0009035
16,19507.5,1.34702,1.70041,1.34073,0.49945,0.54348,0.54814,0.29029,1.48072,2.08295,1.6264,0.00087875,0.00087875,0.00087875
17,19696.8,1.33139,1.67341,1.33627,0.46666,0.46238,0.47143,0.28476,1.51271,2.27835,1.59769,0.000854,0.000854,0.000854
